Title,PDF Link
"Women, Peace and Security: A Guidance for Business",https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UNGC_Women__Peace_and_Security_Paper.pdf
The 2021 United Nations Global Compact–Accenture CEO Sustainability Study,https://info.unglobalcompact.org/l/591891/-Sustainability-2021-FINAL-pdf/58cqdk
The 2021 United Nations Global Compact–Accenture CEO Sustainability Study,https://info.unglobalcompact.org/l/591891/-2021-CEO-Study-SlideShare-pdf/58cqdn
Roadmap to Integrate Clean Offshore Renewable Energy into Climate-smart Marine Spatial Planning,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Roadmap-to-Integrate-Clean-Offshore-Renewable-Energy-into-Climate-smart-Marine-Spatial-Planning.pdf
Status Report: Business Ambition for 1.5°C - Responding to the Climate Crisis,https://sciencebasedtargets.org/resources/files/status-report-Business-Ambition-for-1-5C-campaign.pdf
SBTi Corporate Net-Zero Standard,https://sciencebasedtargets.org/resources/files/Net-Zero-Standard.pdf
Frequently Asked Questions About the Guiding Principles on Business and Human Rights,https://www.unglobalcompact.org/docs/publications/FAQ_PrinciplesBussinessHR.pdf
SDG Ambition – Scaling Business Impact for the Decade of Action,https://info.unglobalcompact.org/l/591891/-New-UN-Compact-Initiative-pdf/58cqdr
SDG Ambition – Scaling Business Impact for the Decade of Action,https://info.unglobalcompact.org/l/591891/-SDG-Ambition20-20FINAL-ES-pdf/58cqdv
SDG Ambition – Scaling Business Impact for the Decade of Action,https://info.unglobalcompact.org/l/591891/Compact-Initiative-Russian-pdf/58cqdy
UNGC 2020 Business Plan,http://www.unglobalcompact.org/docs/about_the_gc/UNGC-2020-UNGC-Business-Plan.pdf
Why climate change and human rights are a business issue,http://www.unglobalcompact.org.au/new/wp-content/uploads/2020/01/2020.01_GCNA-Climate-HR-Discussion-Paper-Final.pdf
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/yala-Danone-Unilever-FINAL-pdf/58cqf2
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/rategy-Danone-Maersk-FINAL-pdf/58cqf5
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/sStrategy-CDL-Maersk-FINAL-pdf/58cqf8
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/-Iberdrola-Safaricom-FINAL-pdf/58cqfc
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/Danone-Iberdrola-PTT-FINAL-pdf/58cqfg
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/s-Enel-Maersk-Natura-FINAL-pdf/58cqfk
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/Iberdrola-Telefonica-FINAL-pdf/58cqfn
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/Cemex-Maersk-Nutresa-FINAL-pdf/58cqfr
See how companies are reporting on the SDGS,https://info.unglobalcompact.org/l/591891/stmanChemical-Natura-FINAL-pdf/58cqfv
